Date,Month,Line,Contour,Pot #,Depth,BAIT,SEX,Carapace Width
8/30/18,August,OT 03,,1,,,1,170
8/30/18,August,OT 03,,2,,,1,170
8/30/18,August,OT 03,,2,,,1,170
8/30/18,August,OS2,,2,,,1,171
8/30/18,August,OT 03,,1,,,1,171
8/30/18,August,OT 03,,2,,,1,171
8/30/18,August,OS2,,1,,,1,172
8/30/18,August,OS2,,2,,,1,172
8/30/18,August,OS2,,2,,,1,172
8/30/18,August,OS2,,2,,,1,172
8/30/18,August,OT 03,,1,,,1,172
8/23/18,August,SJS,,3,,,1,173
8/30/18,August,OT 03,,1,,,1,173
8/30/18,August,OT 03,,2,,,1,174
8/23/18,August,SJS,,1,,,1,175
8/23/18,August,SJS,,1,,,1,175
8/23/18,August,SJS,,1,,,1,175
8/23/18,August,SJS,,3,,,1,175
8/23/18,August,SJS,,3,,,1,175
8/23/18,August,SJS,,3,,,1,175
8/30/18,August,OT 03,,1,,,1,175
8/23/18,August,SJS,,1,,,1,176
8/23/18,August,SJS,,3,,,1,176
8/30/18,August,OS1,,1,,,1,176
8/30/18,August,OS2,,2,,,1,176
8/30/18,August,OT 03,,1,,,1,176
8/30/18,August,OT 03,,2,,,1,176
8/23/18,August,SJS,,3,,,1,177
8/23/18,August,SJS,,1,,,1,178
8/30/18,August,OS1,,1,,,1,178
8/30/18,August,OS2,,1,,,1,178
8/30/18,August,OT 03,,1,,,1,178
8/30/18,August,OS2,,1,,,1,179
8/23/18,August,SJS,,2,,,1,180
8/30/18,August,OS2,,2,,,1,180
8/30/18,August,OT 03,,1,,,1,180
8/30/18,August,OS2,,2,,,1,182
8/23/18,August,SJS,,1,,,1,184
8/23/18,August,SJS,,3,,,1,185
8/30/18,August,OS2,,1,,,2,120
8/30/18,August,OT 03,,2,,,2,120
8/30/18,August,OT 03,,2,,,2,120
8/30/18,August,OS2,,1,,,2,125
8/30/18,August,OT 03,,2,,,2,125
8/30/18,August,OS2,,1,,,2,126
8/30/18,August,OS2,,2,,,2,127
8/30/18,August,OS1,,1,,,2,128
8/30/18,August,OS2,,1,,,2,128
8/30/18,August,OS2,,1,,,2,128
8/30/18,August,OS2,,2,,,2,128
8/30/18,August,OS2,,1,,,2,129
8/30/18,August,OT 03,,2,,,2,129
8/30/18,August,OS1,,1,,,2,130
8/30/18,August,OS2,,1,,,2,130
8/30/18,August,OS2,,1,,,2,130
8/30/18,August,OS2,,1,,,2,130
8/30/18,August,OS2,,1,,,2,130
8/30/18,August,OS2,,2,,,2,130
8/30/18,August,OS2,,2,,,2,130
8/30/18,August,OT 03,,1,,,2,130
8/30/18,August,OT 03,,1,,,2,130
8/30/18,August,OT 03,,2,,,2,130
8/30/18,August,OS2,,2,,,2,131
8/30/18,August,OS2,,2,,,2,131
8/30/18,August,OS2,,2,,,2,131
8/30/18,August,OT 03,,1,,,2,131
8/30/18,August,OT 03,,2,,,2,131
8/30/18,August,OT 03,,2,,,2,131
8/23/18,August,SJS,,3,,,2,132
8/30/18,August,OS1,,1,,,2,132
8/30/18,August,OS2,,1,,,2,132
8/30/18,August,OS2,,1,,,2,132
8/30/18,August,OS2,,1,,,2,132
8/30/18,August,OS2,,1,,,2,132
8/30/18,August,OS2,,1,,,2,133
8/30/18,August,OS2,,1,,,2,133
8/30/18,August,OT 03,,1,,,2,134
8/23/18,August,SJS,,1,,,2,135
8/23/18,August,SJS,,1,,,2,135
8/23/18,August,SJS,,1,,,2,135
8/23/18,August,SJS,,3,,,2,135
8/30/18,August,OS2,,1,,,2,135
8/30/18,August,OS2,,1,,,2,135
8/30/18,August,OS2,,2,,,2,135
8/30/18,August,OT 03,,1,,,2,135
8/30/18,August,OT 03,,1,,,2,135
8/30/18,August,OT 03,,2,,,2,135
8/30/18,August,OT 03,,2,,,2,135
8/30/18,August,OS2,,1,,,2,136
8/23/18,August,SJS,,1,,,2,138
8/23/18,August,SJS,,1,,,2,138
8/30/18,August,OS2,,1,,,2,138
8/30/18,August,OS2,,1,,,2,138
8/30/18,August,OS2,,2,,,2,138
8/30/18,August,OS2,,2,,,2,138
8/30/18,August,OS2,,1,,,2,139
8/30/18,August,OT 03,,2,,,2,139
8/30/18,August,OT 03,,2,,,2,139
8/30/18,August,OS2,,1,,,2,140
8/30/18,August,OS2,,1,,,2,140
8/30/18,August,OS2,,1,,,2,140
8/30/18,August,OS2,,1,,,2,140
8/30/18,August,OS2,,1,,,2,140
8/30/18,August,OS2,,2,,,2,140
8/30/18,August,OS2,,2,,,2,140
8/30/18,August,OT 03,,1,,,2,140
8/30/18,August,OT 03,,1,,,2,140
8/30/18,August,OT 03,,2,,,2,140
8/30/18,August,OT 03,,2,,,2,140
8/30/18,August,OT 03,,2,,,2,140
8/30/18,August,OT 03,,2,,,2,140
8/30/18,August,OT 03,,2,,,2,140
8/30/18,August,OT 03,,2,,,2,140
8/23/18,August,SJS,,1,,,2,141
8/23/18,August,SJS,,3,,,2,141
8/30/18,August,OS2,,1,,,2,141
8/30/18,August,OS2,,2,,,2,141
8/23/18,August,SJS,,3,,,2,142
8/30/18,August,OS2,,1,,,2,142
8/30/18,August,OS2,,1,,,2,142
8/30/18,August,OS2,,2,,,2,142
8/30/18,August,OS2,,2,,,2,142
8/23/18,August,SJS,,1,,,2,143
8/23/18,August,SJS,,2,,,2,143
8/30/18,August,OT 03,,1,,,2,143
8/30/18,August,OT 03,,2,,,2,143
8/23/18,August,SJS,,1,,,2,145
8/23/18,August,SJS,,3,,,2,145
8/30/18,August,OT 03,,2,,,2,145
8/30/18,August,OS1,,1,,,2,146
8/30/18,August,OS2,,2,,,2,146
8/30/18,August,OS2,,1,,,2,148
8/30/18,August,OS2,,2,,,2,148
8/30/18,August,OT 03,,1,,,2,148
8/30/18,August,OS2,,1,,,2,150
8/30/18,August,OT 03,,2,,,2,150
8/30/18,August,OT 03,,2,,,2,150
8/30/18,August,OT 03,,2,,,2,150
8/23/18,August,SJS,,1,,,2,151
8/30/18,August,OS2,,1,,,2,151
8/23/18,August,SJS,,2,,,2,153
8/30/18,August,OS2,,2,,,2,153
8/30/18,August,OS2,,2,,,2,156
8/30/18,August,OT 03,,2,,,2,157
8/30/18,August,OT 03,,1,,,2,158
8/30/18,August,OS1,,1,,,2,160
8/30/18,August,OS2,,1,,,2,165
8/30/18,August,OS2,,1,,,2,170
8/30/18,August,OT 03,,2,,,2,175
8/22/18,August,SJS Inshore,,2,,,3,16
8/22/18,August,SJS Inshore,,3,,,3,16
8/22/18,August,SJS Inshore,,2,,,3,17
8/22/18,August,SJS Inshore,,2,,,3,18
8/22/18,August,SJS Inshore,,2,,,3,18
8/22/18,August,SJS Inshore,,3,,,3,18
8/22/18,August,SJS Inshore,,2,,,3,19
8/22/18,August,SJS Inshore,,3,,,3,20
8/22/18,August,SJS Inshore,,2,,,3,50
8/22/18,August,SJS Inshore,,3,,,3,61
8/22/18,August,SJS Inshore,,3,,,3,62
18-Sep-18,September,North Head,,1,,,1,178
18-Sep-18,September,North Head,,1,,,1,165
18-Sep-18,September,North Head,,1,,,2,140
18-Sep-18,September,North Head,,1,,,2,150
18-Sep-18,September,North Head,,1,,,2,148
18-Sep-18,September,North Head,,1,,,2,146
18-Sep-18,September,North Head,,1,,,2,133
18-Sep-18,September,North Head,,1,,,1,170
18-Sep-18,September,North Head,,1,,,1,156
18-Sep-18,September,North Head,,1,,,1,179
18-Sep-18,September,North Head,,1,,,1,160
18-Sep-18,September,North Head,,1,,,2,145
18-Sep-18,September,North Head,,1,,,2,141
18-Sep-18,September,North Head,,1,,,2,148
18-Sep-18,September,North Head,,1,,,1,141
18-Sep-18,September,North Head,,1,,,2,145
18-Sep-18,September,North Head,,1,,,1,155
18-Sep-18,September,North Head,,1,,,1,155
18-Sep-18,September,North Head,,1,,,2,135
18-Sep-18,September,North Head,,1,,,2,137
18-Sep-18,September,North Head,,1,,,2,139
18-Sep-18,September,North Head,,1,,,2,128
18-Sep-18,September,North Head,,1,,,2,140
18-Sep-18,September,North Head,,1,,,2,141
18-Sep-18,September,North Head,,1,,,2,133
18-Sep-18,September,North Head,,1,,,2,140
18-Sep-18,September,North Head,,1,,,1,120
18-Sep-18,September,North Head,,1,,,1,173
18-Sep-18,September,North Head,,1,,,1,175
18-Sep-18,September,North Head,,1,,,2,148
18-Sep-18,September,North Head,,1,,,2,135
18-Sep-18,September,North Head,,1,,,2,139
18-Sep-18,September,North Head,,1,,,2,138
18-Sep-18,September,North Head,,1,,,1,145
18-Sep-18,September,North Head,,2,,,2,136
18-Sep-18,September,North Head,,2,,,2,125
18-Sep-18,September,North Head,,2,,,1,171
18-Sep-18,September,North Head,,2,,,2,151
18-Sep-18,September,North Head,,2,,,1,176
18-Sep-18,September,North Head,,2,,,1,162
18-Sep-18,September,North Head,,2,,,1,178
18-Sep-18,September,North Head,,2,,,2,135
18-Sep-18,September,North Head,,2,,,2,146
18-Sep-18,September,North Head,,2,,,2,144
18-Sep-18,September,North Head,,2,,,2,158
18-Sep-18,September,North Head,,2,,,2,135
18-Sep-18,September,North Head,,2,,,1,159
18-Sep-18,September,North Head,,2,,,2,135
18-Sep-18,September,North Head,,2,,,2,136
18-Sep-18,September,North Head,,2,,,2,149
18-Sep-18,September,North Head,,2,,,1,168
18-Sep-18,September,North Head,,2,,,2,135
18-Sep-18,September,North Head,,2,,,1,171
18-Sep-18,September,North Head,,2,,,2,145
18-Sep-18,September,North Head,,2,,,2,136
18-Sep-18,September,North Head,,2,,,2,134
18-Sep-18,September,North Head,,2,,,1,180
18-Sep-18,September,North Head,,2,,,2,139
18-Sep-18,September,North Head,,2,,,1,165
18-Sep-18,September,North Head,,2,,,2,144
18-Sep-18,September,North Head,,2,,,2,106
18-Sep-18,September,North Head,,2,,,1,176
18-Sep-18,September,North Head,,2,,,1,170
18-Sep-18,September,North Head,,2,,,1,176
18-Sep-18,September,North Head,,2,,,2,140
18-Sep-18,September,North Head,,2,,,1,165
18-Sep-18,September,North Head,,2,,,2,135
18-Sep-18,September,North Head,,2,,,2,141
18-Sep-18,September,North Head,,2,,,2,131
18-Sep-18,September,North Head,,2,,,1,152
18-Sep-18,September,North Head,,2,,,1,150
18-Sep-18,September,North Head,,2,,,2,125
18-Sep-18,September,North Head,,2,,,2,140
18-Sep-18,September,North Head,,2,,,1,96
18-Sep-18,September,North Head,,3,,,1,138
18-Sep-18,September,North Head,,3,,,2,150
18-Sep-18,September,North Head,,3,,,1,165
18-Sep-18,September,North Head,,3,,,1,165
18-Sep-18,September,North Head,,3,,,1,180
18-Sep-18,September,North Head,,3,,,2,148
18-Sep-18,September,North Head,,3,,,2,141
18-Sep-18,September,North Head,,3,,,1,159
18-Sep-18,September,North Head,,3,,,1,172
18-Sep-18,September,North Head,,3,,,2,133
18-Sep-18,September,North Head,,3,,,2,148
18-Sep-18,September,North Head,,3,,,2,125
18-Sep-18,September,North Head,,3,,,1,160
18-Sep-18,September,North Head,,3,,,2,135
18-Sep-18,September,North Head,,3,,,2,148
18-Sep-18,September,North Head,,3,,,1,148
18-Sep-18,September,North Head,,3,,,2,140
18-Sep-18,September,North Head,,3,,,2,160
18-Sep-18,September,North Head,,3,,,2,140
18-Sep-18,September,North Head,,3,,,2,131
18-Sep-18,September,North Head,,3,,,2,136
18-Sep-18,September,North Head,,3,,,2,141
18-Sep-18,September,North Head,,3,,,2,142
18-Sep-18,September,North Head,,3,,,2,139
18-Sep-18,September,North Head,,3,,,1,160
18-Sep-18,September,North Head,,3,,,2,143
18-Sep-18,September,North Head,,3,,,2,115
18-Sep-18,September,North Head,,3,,,2,146
18-Sep-18,September,North Head,,3,,,2,129
18-Sep-18,September,North Head,,3,,,2,143
18-Sep-18,September,North Head,,3,,,2,137
18-Sep-18,September,North Head,,3,,,1,160
18-Sep-18,September,North Head,,3,,,2,161
18-Sep-18,September,North Head,,3,,,2,130
18-Sep-18,September,North Head,,3,,,2,140
28-Sep-18,September,North Head,,1,,,2,41
28-Sep-18,September,North Head,,1,,,1,45
28-Sep-18,September,North Head,,1,,,1,61
28-Sep-18,September,North Head,,1,,,1,65
28-Sep-18,September,North Head,,1,,,1,130
28-Sep-18,September,North Head,,1,,,2,68
28-Sep-18,September,North Head,,1,,,2,111
28-Sep-18,September,North Head,,1,,,2,148
28-Sep-18,September,North Head,,2,,,2,138
28-Sep-18,September,North Head,,2,,,1,143
28-Sep-18,September,North Head,,2,,,1,164
28-Sep-18,September,North Head,,2,,,1,161
28-Sep-18,September,North Head,,2,,,1,162
28-Sep-18,September,North Head,,2,,,2,110
28-Sep-18,September,North Head,,2,,,2,173
28-Sep-18,September,North Head,,2,,,1,158
28-Sep-18,September,North Head,,3,,,2,140
28-Sep-18,September,North Head,,3,,,1,160
28-Sep-18,September,North Head,,3,,,2,134
28-Sep-18,September,North Head,,3,,,2,141
28-Sep-18,September,North Head,,3,,,1,165
28-Sep-18,September,North Head,,3,,,2,141
28-Sep-18,September,North Head,,3,,,1,175
28-Sep-18,September,North Head,,3,,,2,115
28-Sep-18,September,North Head,,3,,,2,128
28-Sep-18,September,North Head,,4,,,1,159
28-Sep-18,September,North Head,,4,,,2,140
28-Sep-18,September,North Head,,4,,,2,110
28-Sep-18,September,North Head,,4,,,1,148
28-Sep-18,September,North Head,,4,,,1,168
28-Sep-18,September,North Head,,4,,,1,162
28-Sep-18,September,North Head,,4,,,1,163
28-Sep-18,September,North Head,,4,,,2,130
28-Sep-18,September,North Head,,4,,,1,153
28-Sep-18,September,North Head,,4,,,1,140
28-Sep-18,September,North Head,,4,,,1,170
